standard_scaling              , LinearRegression, 90.7, 0.0
standard_scaling              , ARDRegression  , 91.10000000000001, 0.0
standard_scaling              , svm            , 87.3, 20.0
standard_scaling              , KNeighborsRegressor, 88.0, 0.0
maxabs_scaling                , RandomForestRegressor, 92.60000000000001, 1.0
maxabs_scaling                , ExtraTreesRegressor, 84.89999999999999, 1.0
maxabs_scaling                , Lasso          , 91.0, 0.0
maxabs_scaling                , ElasticNet     , 91.3, 0.0
axabs_scaling                , LassoLars      , 90.7, 0.0
axabs_scaling                , OrthogonalMatchingPursuit, 90.3, 0.0
maxabs_scaling                , BayesianRidge  , 90.4, 0.0
maxabs_scaling                , Ridge          , 91.0, 0.0
maxabs_scaling                , SGDRegressor   , -2.9793951223671892e+32, 0.0
maxabs_scaling                , PassiveAggressiveRegressor, -289.8, 0.0
maxabs_scaling                , TheilSenRegressor, 78.5, 0.0
maxabs_scaling                , LinearRegression, 90.8, 0.0
maxabs_scaling                , ARDRegression  , 90.5, 1.0
maxabs_scaling                , svm            , -47.4, 14.0
maxabs_scaling                , KNeighborsRegressor, 87.8, 0.0
transformation_gaussian_pdf   , RandomForestRegressor, 87.4, 1.0
transformation_gaussian_pdf   , ExtraTreesRegressor, 74.7, 1.0
transformation_gaussian_pdf   , Lasso          , 87.0, 0.0
transformation_gaussian_pdf   , ElasticNet     , 87.5, 0.0
transformation_gaussian_pdf   , LassoLars      , 86.7, 0.0
transformation_gaussian_pdf   , OrthogonalMatchingPursuit, 86.6, 0.0
transformation_gaussian_pdf   , BayesianRidge  , 86.7, 0.0
transformation_gaussian_pdf   , Ridge          , 87.9, 0.0
transformation_gaussian_pdf   , SGDRegressor   , -2.0416152332775976e+31, 0.0
transformation_gaussian_pdf   , PassiveAggressiveRegressor, 15.299999999999999, 0.0
transformation_gaussian_pdf   , TheilSenRegressor, 86.6, 0.0
transformation_gaussian_pdf   , LinearRegression, 87.3, 0.0
transformation_gaussian_pdf   , ARDRegression  , 86.8, 1.0
transformation_gaussian_pdf   , svm            , 81.5, 22.0
transformation_gaussian_pdf   , KNeighborsRegressor, 85.8, 0.0

